pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2025-08-14,78.0,-1.6,5.9,"Ober, Bailey",693307,641927,,called_strike,,,,,5,Dillon Dingler strikes out swinging.,R,R,R,MIN,DET,S,,,2,1,2025,0.99,0.11,0.18,2.23,,,,0,3,Top,,,,,,,2.0384629926843547,-113.73704707778025,-1.2995303984994393,8.31915789259004,19.228633117823996,-31.20289870864016,3.39,1.55,,,,80.0,2229,7.4,776744,680777,666397,807712,668904,686797,702176,668885,663616,53.15,,,,,,,,14,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,49,0.0,-0.072,,,,0.072,,0,0,0.5,0.5,29,26,30,27,1,0,,,,,3.6,-0.99,-0.99,,,,,,
CU,2025-08-14,77.4,-3.06,5.64,"Scherzer, Max",683357,453286,,swinging_strike,,,,,13,Owen Caissie lines out to left fielder Davis Schneider.,R,L,R,TOR,CHC,S,,,1,1,2025,0.99,-0.22,-0.32,1.46,,,,0,7,Top,,,,,,,4.055842080454361,-112.84535096335868,-1.659800645561646,7.817128794617738,18.72223493839248,-33.986950283417926,3.49,1.6,,,,77.5,2788,6.1,776747,623168,664034,676391,680718,666182,676914,664702,694388,54.45,,,,,,,,41,3,Curveball,0,1,1,0,1,0,1,0,Infield shade,Standard,72,0.0,-0.06,73.0,8.3,,0.06,,-1,1,0.3,0.7,40,22,41,23,3,2,,,,,3.98,-0.99,0.99,,29.1250291570458,-25.92820642273172,34.00611908176192,42.10186716682663,52.67166612753088
ST,2025-08-14,87.9,-1.97,5.6,"Bachar, Lake",680757,669199,,called_strike,,,,,5,Steven Kwan strikes out swinging.,R,L,R,CLE,MIA,S,,,1,1,2025,0.97,0.45,-0.16,2.02,,595978.0,,1,6,Bot,,,,,,,2.3627974384482413,-128.1959469666942,-3.5928545941561247,10.41359667568775,22.98770202255892,-26.690018019326576,3.19,1.45,,,,88.2,2919,6.1,776745,689414,687859,669364,691594,672640,669065,805300,681715,54.41,,,,,,,,55,3,Sweeper,5,4,5,4,4,5,5,4,Standard,Standard,67,0.0,-0.058,,,,0.058,,1,1,0.765,0.765,30,27,30,28,1,3,,,,,2.45,-0.97,0.97,,,,,,
SL,2025-08-14,82.9,-3.06,5.85,"Robertson, David",686611,502085,,called_strike,,,,,1,Dylan Crews called out on strikes.,R,R,R,WSH,PHI,S,,,0,0,2025,0.95,0.49,-0.41,2.59,,,,0,8,Bot,,,,,,,4.202214866959015,-120.57132118881296,-1.8634231972636477,8.322350414613672,25.6461177004493,-27.254282270014563,3.07,1.34,,,,82.9,2674,6.5,776743,592663,547180,681082,624641,607208,596146,664056,592206,53.98,,,,,,,,62,1,Slider,3,2,3,2,2,3,3,2,Standard,Standard,85,0.0,-0.04,,,,0.04,,1,1,0.871,0.871,40,23,40,23,1,3,,,,,2.85,-0.95,-0.95,,,,,,
ST,2025-08-14,83.6,-2.2,6.1,"Evans, Logan",691723,688138,,called_strike,,,,,3,Coby Mayo walks.,R,R,R,BAL,SEA,S,,,0,0,2025,0.94,-0.15,0.48,3.06,,,,0,2,Bot,,,,,,,4.256562629142118,-121.61682518456976,-0.1850148533446421,8.262579321217212,28.0226278375201,-33.84412374726184,3.61,1.61,,,,82.0,2980,5.6,776750,641598,647304,702284,553993,641487,668227,677594,686527,54.89,,,,,,,,13,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,55,0.0,-0.04,,,,0.04,,0,0,0.55,0.55,24,23,24,24,1,0,,,,,3.46,-0.94,-0.94,,,,,,
CU,2025-08-14,87.3,-0.85,6.07,"Cabrera, Edward",692216,665795,strikeout,swinging_strike_blocked,,,,,14,C.J. Kayfus strikes out swinging.,R,L,R,CLE,MIA,S,2.0,,1,2,2025,0.93,-0.72,1.09,-0.44,,700932.0,672356.0,2,3,Bot,,,,,,,2.764798295233732,-127.10249008389468,-8.121101484152591,9.578811091396805,24.72744447883946,-38.61988232549882,3.5,1.56,,,,88.2,2664,6.7,776745,689414,687859,669364,688363,672640,669065,805300,681715,53.81,,0.0,0.0,1.0,0.0,0.0,,27,4,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,35,-0.048,-0.19,27.8,6.8,,0.19,,0,0,0.548,0.548,27,23,27,24,2,1,,,,,3.69,-0.93,0.93,,19.00896342481322,-0.8078756020869461,49.7957860181164,17.330319339695336,32.71910878365114
ST,2025-08-14,80.2,-1.9,5.92,"Senga, Kodai",669397,673540,,called_strike,,,,,6,Nick Allen strikes out swinging.,R,R,R,NYM,ATL,S,,,0,0,2025,0.92,-0.14,0.47,2.15,,,,1,5,Top,,,,,,,3.48683025109047,-116.67997425781265,-1.2078015027523867,7.463031885982547,26.54189876644708,-33.459396820325274,2.97,1.31,,,,79.3,2620,6.2,776748,620443,624413,643446,683146,596019,607043,656775,665742,54.34,,,,,,,,32,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,39,0.0,-0.038,,,,0.038,,0,0,0.53,0.47,32,26,32,27,2,1,,,,,3.75,-0.92,-0.92,,,,,,
CU,2025-08-14,84.7,-0.91,6.16,"Cabrera, Edward",681807,665795,,called_strike,,,,,4,David Fry grounds out to first baseman Troy Johnston.,R,R,R,CLE,MIA,S,,,0,1,2025,0.91,-0.94,-0.72,2.23,,700932.0,692216.0,2,5,Bot,,,,,,,-1.3878002045644786,-123.41411199186705,-0.9662168047557468,9.555205829021029,25.120284884769976,-41.77793366716941,3.28,1.62,,,,84.9,2614,6.4,776745,689414,687859,669364,688363,672640,669065,805300,681715,54.08,,,,,,,,48,2,Curveball,5,4,5,4,4,5,5,4,Standard,Standard,39,0.0,-0.06,,,,0.06,,1,1,0.708,0.708,27,29,27,30,3,2,,,,,4.11,-0.91,-0.91,,,,,,
ST,2025-08-14,86.6,2.33,5.67,"Luzardo, Jesús",691781,666200,strikeout,swinging_strike,,,,,7,Brady House strikes out swinging.,R,R,L,WSH,PHI,S,2.0,,2,2,2025,0.89,0.11,-0.61,2.11,,,,2,2,Bot,,,,,,,-5.170967548950549,-126.0099509992534,-2.4620513682729004,-8.375098555624556,26.9867486864256,-30.740102105026907,3.61,1.59,,,,85.7,2316,5.8,776743,592663,547180,681082,624641,607208,596146,669016,592206,54.66,,0.0,0.0,1.0,0.0,0.0,,15,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,321,-0.011,-0.221,79.0,8.4,,0.221,,0,0,0.511,0.511,27,22,28,22,1,0,,,,,2.95,-0.89,0.89,,19.928297190707312,-20.232679204278607,31.94843592615005,28.859725574439928,39.73734808360594
ST,2025-08-14,84.6,2.22,5.71,"Luzardo, Jesús",695578,666200,,called_strike,,,,,8,James Wood singles on a ground ball to left fielder Max Kepler.,R,L,L,WSH,PHI,S,,,0,0,2025,0.89,0.09,-0.03,2.29,,,,2,3,Bot,,,,,,,-3.436891406959207,-123.17568615268598,-1.7362891345418792,-8.245634777928657,26.997551568984097,-31.101737557688708,3.86,1.81,,,,83.3,2221,5.7,776743,592663,547180,681082,624641,607208,596146,669016,592206,54.85,,,,,,,,23,1,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,316,0.0,-0.045,,,,0.045,,-1,-1,0.384,0.384,27,22,28,23,2,1,,,,,3.12,-0.89,-0.89,,,,,,
